城市名称,经度,纬度,分数
深圳,114.0,22.5,0.0344
惠州,114.0,23.0,0.0315
东莞,114.0,23.0,0.0271
广州,113.28,23.13,0.0412
贺州,111.5,24.3,0.0303
楚雄州,101.0,25.0,0.031
大理,100.0,25.4,0.0303
攀枝花,105.0,26.0,0.0402
福州,119.3,26.0,0.036
贵阳,106.63,26.65,0.0319
丽江,100.4,26.85,0.0303
邵阳,111.0,27.0,0.0316
铜仁,109.0,27.6,0.0272
泸州,106.0,28.0,0.0314
长沙,112.59,28.12,0.0299
台州,121.42,28.66,0.0311
常德,111.7,29.0,0.0319
重庆,106.45,30.0,0.0458
杭州,120.0,30.0,0.0373
恩施,109.5,30.0,0.0335
潜江,112.0,30.0,0.0305
咸宁,114.3,30.0,0.0305
南充,106.0,30.5,0.03
安庆,117.0,30.53,0.0309
成都,104.0,31.0,0.0373
苏州,120.37,31.3,0.0319
神农架,110.0,31.4,0.0445
无锡,120.0,31.5,0.0298
南京,119.0,32.0,0.0332
扬州,119.5,32.25,0.0314
泰州,120.0,33.0,0.0281
西安,109.0,34.0,0.0318
郑州,113.4,34.46,0.0361
上海,121.43,34.5,0.0431
济源,112.5,35.0,0.03
晋城,112.5,35.3,0.0303
定西,104.34,35.33,0.03
潍坊,119.0,36.0,0.0315
青岛,120.5,36.5,0.0275
济南,117.0,37.0,0.0274
雄安新区,116.0,39.0,0.0343
天津,117.5,39.0,0.0284
朔州,112.37,39.34,0.0301
北京,116.5,40.0,0.0564
嘉峪关,98.25,40.0,0.0301
呼和浩特,111.0,41.0,0.0316
包头,110.0,41.0,0.0271
沈阳,123.25,41.48,0.0282
通化,126.0,42.0,0.0302
五家渠,87.3,44.0,0.0299
